,SiteEnergyUse(kBtu),TotalGHGEmissions,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,age_batiment,PrimaryPropertyType
896,931148.625,6.49,1.0,3,22860,43.0,21,Other
900,888031.875,32.22,1.0,1,26366,88.0,44,Worship Facility
904,860364.1875,23.59,1.0,2,21732,2.0,51,Worship Facility
911,350264.5938,6.69,1.0,1,21060,81.0,71,Mixed Use Property
912,1678458.75,37.31,1.0,4,20539,58.8,56,Mixed Use Property
921,813641.0,5.67,1.0,3,32960,71.0,116,Retail Store
922,688641.8125,4.8,1.0,3,29636,67.2,95,Other
923,716279.6875,4.99,1.0,3,20571,72.0,86,Hotel
932,3040195.5,118.37,1.0,2,47992,17.0,90,Worship Facility
934,2717863.25,89.57,1.0,3,28572,16.0,23,Other
952,2882489.75,20.09,0.0,15,115775,94.0,34,Other
953,1128179.125,27.14,1.0,2,31386,52.0,16,Worship Facility
